Name;Length;WingSpan;WingArea;EmptyMass;MaxFuelMass;CritAirSpd;CritAirSpdMach;CritGearSpd;CombatFlaps;TakeoffFlaps;CritFlapsSpd;CritWingOverload;NumEngines;RPM;MaxNitro;NitroConsum;CritAoA
a6m2_n_zero;9.05000;11.80000;22.14000;1823.00000;464.20000;650.00000;0.83000;550.00000;20.00000;33.00000;0.1,520.4,1.0,320.4;-127138.0,151757.0;1.00000;100,2550,2650;0.00000;0.00000;17.0,-14.5,16.5,-13.0
a6m2_zero;9.05000;11.80000;22.43800;1864.00000;385.20000;660.00000;0.83000;310.00000;20.00000;33.00000;0.1,510.0,1.0,280.0;-84523.2,149473.0;1.00000;100,2550,2650;0.00000;0.00000;17.0,-14.5,16.5,-13.0
a6m3_mod22_zero;9.05000;12.00000;22.43800;2086.00000;417.60000;660.00000;0.79000;240.00000;20.00000;33.00000;0.1,420.0,1.0,220.0;-79507.4,175027.0;1.00000;500,2750,3000;0.00000;0.00000;17.0,-14.5,16.5,-13.0
a6m3_zero;9.05000;11.00000;21.83800;1990.00000;592.70000;703.00000;0.83000;290.00000;20.00000;33.00000;0.1,420.0,1.0,220.0;-79507.4,175027.0;1.00000;500,2750,3000;0.00000;0.00000;17.0,-14.5,16.5,-13.0
a6m5_hei;9.05000;11.00000;21.30000;2478.00000;475.20000;777.00000;0.83000;300.00000;20.00000;33.00000;0.1,420.0,1.0,220.0;-153260.0,204347.0;1.00000;500,2750,3000;0.00000;0.00000;17.0,-14.5,16.5,-13.0
a6m5_ko_otsu;9.05000;11.00000;21.30000;2088.00000;417.60000;777.00000;0.83000;300.00000;20.00000;33.00000;0.1,420.0,1.0,220.0;-79507.4,182256.0;1.00000;500,2750,3000;0.00000;0.00000;17.0,-14.5,16.5,-13.0
a6m5_zero;9.05000;11.00000;21.30000;2094.00000;417.60000;703.00000;0.83000;300.00000;20.00000;33.00000;0.1,420.0,1.0,220.0;-79507.4,182256.0;1.00000;500,2750,3000;0.00000;0.00000;17.0,-14.5,16.5,-13.0
a6m6c;9.05000;11.00000;21.30000;2401.00000;475.20000;777.00000;0.83000;300.00000;20.00000;33.00000;0.1,420.0,1.0,220.0;-153260.0,204347.0;1.00000;500,2800,3000;70.00000;0.15770;17.0,-14.5,16.5,-13.0
a7he1;9.30000;9.10000;16.98000;1911.00000;200.00000;730.00000;0.80000;450.00000;20.00000;33.00000;0.1,520.4,1.0,320.4;-148989.0,148989.0;1.00000;400,2700,2800;0.00000;0.00000;17.2,-17.0,14.1,-20.0
a7m1;10.98400;14.00000;30.72000;3164.00000;613.00000;826.00000;0.83000;310.00000;20.00000;33.00000;0.1,510.0,1.0,280.0;-195878.0,241668.0;1.00000;400,3000,3500;116.00000;0.09420;17.6,-17.7,16.0,-15.0
a7m2;10.98400;14.00000;30.72000;3284.00000;613.00000;826.00000;0.87000;310.00000;20.00000;33.00000;0.1,510.0,1.0,280.0;-184523.0,237699.0;1.00000;400,2900,3200;116.00000;0.09420;17.6,-17.7,16.0,-15.0
a_109_eoa2;16.00000;3.40000;0.60000;1560.00000;450.00000;420.00000;0.79000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;4000,6016,7600;0.00000;0.00000;28.6,-28.0,22.6,-21.0
a_129_a;16.00000;3.40000;2.40000;3100.00000;933.00000;460.00000;0.79000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;4700,6850,8900;0.00000;0.00000;28.6,-28.0,22.6,-21.0
a_129_cbt;16.00000;3.40000;2.40000;3160.00000;933.00000;460.00000;0.79000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;4700,6150,8100;0.00000;0.00000;28.6,-28.0,22.6,-21.0
a_129_d;16.00000;3.40000;2.40000;3160.00000;933.00000;460.00000;0.79000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;4700,6150,8100;0.00000;0.00000;28.6,-28.0,22.6,-21.0
a_129_int;16.00000;3.40000;2.40000;3100.00000;933.00000;460.00000;0.79000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;4700,6850,8900;0.00000;0.00000;28.6,-28.0,22.6,-21.0
a_29_hudson;13.51000;19.96000;51.18000;5985.00000;1754.00000;564.00000;0.65000;235.00000;20.00000;33.00000;0.1,340.0,1.0,235.0;-198000.0,396000.0;2.00000;300,2500,2900;0.00000;0.00000;17.0,-13.0,16.5,-12.0
a_35b;12.11580;14.63000;30.84380;5322.00000;780.00000;702.00000;0.69000;278.00000;20.00000;33.00000;0.1,430.0,0.3,290.0,1.0,278.0;-180290.0,451100.0;1.00000;750,2600,3100;0.00000;0.00000;16.2,-14.0,14.3,-8.0
a_4b;11.99670;8.38200;24.15480;4439.00000;2467.50000;1167.00000;1.28100;437.00000;20.00000;33.00000;0.1,615.0,1.0,410.0;-152500.0,291900.0;1.00000;3600,8300,8800;0.00000;0.00000;23.0,-22.5,21.0,-23.0
a_4e_early;11.99670;8.38200;24.15480;4574.00000;2467.50000;1167.00000;1.28100;437.00000;20.00000;33.00000;0.1,615.0,1.0,410.0;-102500.0,291900.0;1.00000;4600,11650,11952;0.00000;0.00000;23.0,-22.5,21.0,-23.0
a_4e_early_iaf;12.59000;8.38200;24.15480;4919.00000;2467.50000;1167.00000;1.28100;437.00000;20.00000;33.00000;0.1,615.0,1.0,410.0;-102500.0,291900.0;1.00000;4600,11650,11952;0.00000;0.00000;23.0,-22.5,21.0,-23.0
a_4e_late_iaf;12.59000;8.38200;24.15480;4944.00000;2467.50000;1167.00000;1.28100;437.00000;20.00000;33.00000;0.1,615.0,1.0,410.0;-102500.0,291900.0;1.00000;4600,12060,12410;0.00000;0.00000;23.0,-22.5,21.0,-23.0
a_4h;11.99670;8.38200;24.15480;4644.00000;2467.50000;1167.00000;1.28100;437.00000;20.00000;33.00000;0.1,615.0,1.0,410.0;-102500.0,291900.0;1.00000;4600,12060,12410;0.00000;0.00000;23.0,-22.5,21.0,-23.0
a_4n;12.59000;8.38200;24.15480;4950.00000;2467.50000;1167.00000;1.28100;437.00000;20.00000;33.00000;0.1,615.0,1.0,410.0;-102500.0,291900.0;1.00000;4600,12010,12400;0.00000;0.00000;23.0,-22.5,21.0,-23.0
a_5c;15.41500;9.68000;27.95000;6609.00000;2827.00000;1260.00000;1.65000;577.00000;0.00000;33.00000;0.2,700.0,0.3,500.0,1.0,450.0;-215000.0,435000.0;2.00000;4100,11195,11600;0.00000;0.00000;22.0,-21.0,16.0,-17.0
a_6e_tram;16.68800;16.15440;49.13600;12455.00000;7229.00000;1322.00000;1.07000;460.00000;0.00000;70.00000;0.1,650.0,1.0,460.0;-330000.0,940000.0;2.00000;4600,12060,12410;0.00000;0.00000;23.0,-21.0,22.5,-19.0
a_7d;14.06000;11.80490;34.84000;9006.00000;4201.00000;1254.00000;1.12400;407.00000;20.00000;33.00000;0.1,505.0,0.3,457.0,1.0,407.0;-291000.0,670600.0;1.00000;6896,12770,13408;0.00000;0.00000;23.5,-22.5,22.0,-21.0
a_7e;14.06000;11.80490;34.84000;9011.00000;4552.00000;1254.00000;1.12400;407.00000;20.00000;33.00000;0.1,505.0,0.3,457.0,1.0,407.0;-291000.0,670600.0;1.00000;6896,12770,13408;0.00000;0.00000;23.5,-22.5,22.0,-21.0
a_7k;14.06000;11.80490;34.84000;9011.00000;4552.00000;1254.00000;1.12400;407.00000;20.00000;33.00000;0.1,505.0,0.3,457.0,1.0,407.0;-291000.0,670600.0;1.00000;6896,12770,13408;0.00000;0.00000;23.5,-22.5,22.0,-21.0
ab_205a_1;12.98000;3.20000;0.06000;2200.00000;833.00000;450.00000;0.79000;420.00000;0.00000;0.00000;;-100000.0,250000.0;1.00000;3000,6600,10000;0.00000;0.00000;28.6,-28.0,22.6,-21.0
ah-64d;16.00000;4.90000;4.80000;5320.00000;1100.00000;460.00000;0.79000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;12500,20900,30000;0.00000;0.00000;28.6,-28.0,29.6,-28.0
ah_1f;17.51000;3.20000;1.80000;2970.00000;833.00000;450.00000;0.79000;420.00000;0.00000;0.00000;;-100000.0,250000.0;1.00000;3000,6600,10000;0.00000;0.00000;28.6,-28.0,22.6,-21.0
ah_1f_iaf;17.51000;3.20000;1.80000;2970.00000;833.00000;450.00000;0.79000;420.00000;0.00000;0.00000;;-100000.0,250000.0;1.00000;3000,6600,10000;0.00000;0.00000;28.6,-28.0,22.6,-21.0
ah_1g;17.51000;3.20000;1.80000;2780.00000;707.00000;450.00000;0.79000;420.00000;0.00000;0.00000;;-100000.0,250000.0;1.00000;3000,6600,10000;0.00000;0.00000;28.6,-28.0,22.6,-21.0
ah_1g_iaf;17.51000;3.20000;1.80000;2780.00000;707.00000;450.00000;0.79000;420.00000;0.00000;0.00000;;-100000.0,250000.0;1.00000;3000,6600,10000;0.00000;0.00000;28.6,-28.0,22.6,-21.0
ah_1q_iaf;17.51000;3.20000;1.80000;2780.00000;707.00000;450.00000;0.79000;420.00000;0.00000;0.00000;;-100000.0,250000.0;1.00000;3000,6600,10000;0.00000;0.00000;28.6,-28.0,22.6,-21.0
ah_1s;17.51000;3.20000;1.80000;2970.00000;833.00000;450.00000;0.79000;420.00000;0.00000;0.00000;;-100000.0,250000.0;1.00000;3000,6600,10000;0.00000;0.00000;28.6,-28.0,22.6,-21.0
ah_1w;16.00000;4.00000;4.20000;4898.00000;879.00000;460.00000;0.80000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;12500,20900,30000;0.00000;0.00000;28.6,-28.0,22.6,-21.0
ah_1z;16.00000;4.00000;4.20000;5580.00000;1216.00000;460.00000;0.80000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;12500,20900,30000;0.00000;0.00000;28.6,-28.0,22.6,-21.0
ah_2_rooivalk;16.30000;6.30000;5.40000;5910.00000;1440.00000;460.00000;0.79000;420.00000;0.00000;0.00000;;-80000.0,180000.0;2.00000;12500,23000,29000;0.00000;0.00000;28.6,-28.0,29.6,-28.0
ah_60_iaf;16.00000;5.80000;3.00000;5690.00000;1110.00000;460.00000;0.79000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;12500,20900,30000;0.00000;0.00000;28.6,-28.0,29.6,-28.0
ah_64a;16.00000;4.90000;4.80000;5060.00000;1100.00000;460.00000;0.79000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;12500,20900,30000;0.00000;0.00000;28.6,-28.0,29.6,-28.0
ah_64a_iaf;16.00000;4.90000;4.80000;5060.00000;1100.00000;460.00000;0.79000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;12500,20900,30000;0.00000;0.00000;28.6,-28.0,29.6,-28.0
ah_64d;16.00000;4.90000;4.80000;5320.00000;1100.00000;460.00000;0.79000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;12500,20900,30000;0.00000;0.00000;28.6,-28.0,29.6,-28.0
ah_64d_i_saraph;16.00000;4.90000;4.80000;5320.00000;1100.00000;460.00000;0.79000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;12500,20900,30000;0.00000;0.00000;28.6,-28.0,29.6,-28.0
ah_64d_japan;16.00000;4.90000;4.80000;5320.00000;1100.00000;460.00000;0.79000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;12500,20900,30000;0.00000;0.00000;28.6,-28.0,29.6,-28.0
ah_64d_netherlands;16.00000;4.90000;4.80000;5320.00000;1100.00000;460.00000;0.79000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;12500,20900,30000;0.00000;0.00000;28.6,-28.0,29.6,-28.0
ah_6m;17.50000;4.00000;0.60000;790.00000;180.00000;300.00000;0.60000;320.00000;0.00000;0.00000;;-40000.0,83000.0;1.00000;2000,6000,8200;0.00000;0.00000;28.6,-28.0,22.6,-21.0
ah_mk1;16.00000;4.90000;4.80000;5460.00000;1100.00000;460.00000;0.79000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;12500,20900,30000;0.00000;0.00000;28.6,-28.0,29.6,-28.0
ahs;16.00000;4.90000;4.80000;5060.00000;1100.00000;460.00000;0.79000;420.00000;0.00000;0.00000;;-70000.0,130000.0;2.00000;12500,20900,30000;0.00000;0.00000;28.6,-28.0,29.6,-28.0
aichi_e13a;11.49000;14.50000;36.00000;2297.00000;1010.00000;450.00000;0.83000;550.00000;20.00000;33.00000;0.1,520.4,1.0,320.4;-127138.0,171757.0;1.00000;100,2550,2650;0.00000;0.00000;17.0,-14.5,16.5,-13.0
alpha_jet_a;12.46500;9.11400;17.50000;3720.00000;2087.00000;1127.00000;1.05000;390.00000;0.00000;33.00000;0.2,580.0,1.0,390.0;-145000.0,305000.0;2.00000;11960,22561,23700;0.00000;0.00000;21.0,-20.0,19.0,-21.0
alpha_jet_e;12.46500;9.11400;17.50000;3725.00000;2087.00000;1127.00000;1.05000;390.00000;0.00000;33.00000;0.2,580.0,1.0,390.0;-145000.0,305000.0;2.00000;11960,22561,23700;0.00000;0.00000;21.0,-20.0,19.0,-21.0
alpha_jet_th_phase_1;12.46500;9.11400;17.50000;3720.00000;2087.00000;1127.00000;1.05000;390.00000;0.00000;33.00000;0.2,580.0,1.0,390.0;-145000.0,305000.0;2.00000;11960,22561,23700;0.00000;0.00000;21.0,-20.0,19.0,-21.0
am-1_mauler;12.75000;15.26000;46.08520;6910.00000;1388.00000;805.00000;0.80000;700.00000;20.00000;33.00000;0.2,420.0,0.3,350.0,1.0,300.0;-255476.0,510952.0;1.00000;1200,2700,3060;92.00000;0.06250;18.5,-10.0,16.5,-18.5
amx_a_1a_brazil;13.23000;8.87000;23.00000;6700.00000;3685.00000;1180.00000;1.05000;444.00000;20.00000;33.00000;0.2,936.0,1.0,333.0;-285000.0,575000.0;1.00000;5000,12900,15000;0.00000;0.00000;21.0,-20.0,21.5,-19.0
amx_italy;13.23000;8.87000;23.00000;6700.00000;3513.00000;1180.00000;1.05000;444.00000;20.00000;33.00000;0.2,936.0,1.0,333.0;-285000.0,575000.0;1.00000;5000,12900,15000;0.00000;0.00000;21.0,-20.0,21.5,-19.0
ar_2;12.78000;18.00000;48.21000;5270.00000;950.00000;650.00000;0.75000;350.00000;20.00000;33.00000;0.1,320.0,1.0,280.0;-152055.0,273699.0;2.00000;900,2700,2800;0.00000;0.00000;17.0,-12.0,15.0,-19.0
arado-196a-3;10.98000;12.44000;28.50000;2631.00000;288.00000;570.00000;0.60000;550.00000;20.00000;33.00000;0.1,520.4,1.0,320.4;-127138.0,151757.0;1.00000;500,2550,2950;0.00000;0.00000;17.0,-14.5,16.5,-13.0
arado-234;12.65000;14.41000;26.80000;3735.00000;3000.00000;1000.00000;0.82000;400.00000;20.00000;33.00000;0.1,550.0,1.0,350.0;-132931.0,290000.0;2.00000;2700,8700,9000;0.00000;0.00000;18.0,-16.0,14.0,-12.0
arado-234_hockey;12.65000;14.41000;26.80000;3735.00000;3000.00000;1000.00000;0.82000;400.00000;20.00000;33.00000;0.1,550.0,1.0,350.0;-132931.0,290000.0;2.00000;2700,9000;0.00000;0.00000;18.0,-16.0,14.0,-12.0
arado-234c-3;12.65000;14.41000;26.80000;6700.00000;3100.00000;1000.00000;0.82000;400.00000;20.00000;33.00000;0.1,550.0,1.0,350.0;-182931.0,400000.0;4.00000;3000,11000;0.00000;0.00000;18.0,-16.0,14.0,-12.0
ariete;9.60000;7.50000;14.73000;2439.00000;936.00000;1125.00000;1.21000;450.00000;20.00000;33.00000;0.1,520.4,1.0,320.4;-80500.0,198500.0;2.00000;8000,14700,15500;0.00000;0.00000;21.0,-21.0,20.0,-17.0
attaker_fb1;11.58000;11.27700;20.88000;4400.00000;1038.00000;985.00000;0.84000;351.00000;20.00000;33.00000;0.1,1000.0,1.0,987.0;-170000.0,295000.0;1.00000;5000,12500,16000;0.00000;0.00000;16.1,-14.0,14.5,-17.0
av_8a;14.30000;7.70000;18.60000;5570.00000;2335.00000;1463.00000;1.25000;648.00000;0.00000;33.00000;0.1,1111.0,0.3,926.0,1.0,556.0;-220000.0,560000.0;1.00000;4900,7510,10000;223.00000;2.40000;21.0,-21.0,21.0,-20.0
av_8b_na;14.12000;9.25000;21.60000;6260.00000;3520.00000;1137.00000;1.10000;648.00000;0.00000;33.00000;0.2,973.0,0.3,833.0,1.0,556.0;-220000.0,560000.0;1.00000;4900,7510,10000;227.00000;2.40000;23.0,-21.0,23.0,-21.0
av_8b_plus;14.12000;9.25000;21.60000;6327.00000;3520.00000;1137.00000;1.10000;648.00000;0.00000;33.00000;0.2,973.0,0.3,833.0,1.0,556.0;-220000.0,560000.0;1.00000;4900,7510,10000;227.00000;2.40000;23.0,-21.0,23.0,-21.0
av_8c;14.30000;7.70000;18.60000;5570.00000;2335.00000;1463.00000;1.25000;648.00000;0.00000;33.00000;0.1,1111.0,0.3,926.0,1.0,556.0;-220000.0,560000.0;1.00000;4900,7510,10000;223.00000;2.40000;21.0,-21.0,21.0,-20.0
av_8s;14.30000;7.70000;18.60000;5570.00000;2335.00000;1463.00000;1.25000;648.00000;0.00000;33.00000;0.1,1111.0,0.3,926.0,1.0,556.0;-220000.0,560000.0;1.00000;4900,7510,10000;223.00000;2.40000;21.0,-21.0,21.0,-20.0
avenger_mk1;12.23000;16.50500;45.52000;5272.00000;906.00000;612.00000;0.63000;397.00000;0.00000;0.00000;0.1,485.0,1.0,285.0;-86700.0,199500.0;1.00000;800,2600,3100;0.00000;0.00000;16.5,-11.0,17.0,-13.0
b-17e;22.49600;31.63200;131.91800;15906.00000;4714.00000;516.00000;0.63000;290.00000;20.00000;33.00000;0.1,400.0,1.0,249.0;-196037.0,305365.0;4.00000;600,2500,2900;0.00000;0.00000;16.2,-14.0,14.3,-8.0
b-17e_late;22.49600;31.63200;131.91800;15996.00000;4714.00000;516.00000;0.63000;290.00000;20.00000;33.00000;0.1,400.0,1.0,249.0;-196037.0,305365.0;4.00000;600,2500,2900;0.00000;0.00000;16.2,-14.0,14.3,-8.0
b-17g;22.78100;31.63200;131.91800;16855.00000;7576.00000;516.00000;0.63000;290.00000;20.00000;33.00000;0.1,400.0,1.0,249.0;-196037.0,305365.0;4.00000;600,2501,3100;0.00000;0.00000;16.2,-14.0,14.3,-8.0
b-29;30.17500;43.04700;161.46000;32867.00000;17958.00000;609.00000;0.64000;389.00000;20.00000;33.00000;0.1,340.0,1.0,270.0;-532000.0,1064000.0;4.00000;550,2801,3150;0.00000;0.00000;14.2,-12.0,13.0,-13.0
b-57;19.96000;19.51000;88.80000;11200.00000;6616.00000;990.00000;0.85000;450.00000;0.00000;0.00000;0.1,520.4,1.0,320.4;-309812.0,679812.0;2.00000;5000,8300,9000;0.00000;0.00000;15.0,-13.3,12.0,-22.0
b-57b;19.96000;19.51000;88.80000;13350.00000;6640.00000;990.00000;0.85000;450.00000;0.00000;0.00000;0.1,520.4,1.0,320.4;-309812.0,729812.0;2.00000;5000,8300,9000;0.00000;0.00000;15.0,-13.3,12.0,-22.0
b5n2;11.30000;15.51800;39.69000;2148.00000;788.00000;555.00000;0.50000;450.00000;20.00000;33.00000;0.1,420.4,1.0,280.4;-68000.0,180810.0;1.00000;100,2550,3000;0.00000;0.00000;19.0,-14.0,16.0,-15.0
b6n1;10.86500;14.89400;32.80000;3034.00000;1155.00000;650.00000;0.70000;310.00000;20.00000;33.00000;0.1,380.0,1.0,280.4;-71540.0,229165.0;1.00000;450,2600,2850;85.00000;0.12550;17.0,-14.0,16.0,-15.0
b6n2;10.86500;14.89400;32.80000;3034.00000;1155.00000;650.00000;0.70000;310.00000;20.00000;33.00000;0.1,380.0,1.0,280.4;-71540.0,229165.0;1.00000;450,2600,2850;85.00000;0.12550;17.0,-14.0,16.0,-15.0
b6n2a;10.86500;14.89400;32.80000;3034.00000;1155.00000;650.00000;0.70000;310.00000;20.00000;33.00000;0.1,380.0,1.0,280.4;-71540.0,229165.0;1.00000;450,2600,2850;85.00000;0.12550;17.0,-14.0,16.0,-15.0
b7a2;11.49000;14.40000;31.80000;3936.00000;1600.00000;680.00000;0.75000;350.00000;20.00000;33.00000;0.1,480.0,1.0,280.0;-430414.0,430414.0;1.00000;450,2900,3200;0.00000;0.00000;16.7,-14.0,15.8,-13.8
b7a2_homare_23;11.49000;14.40000;31.80000;3936.00000;1600.00000;680.00000;0.75000;350.00000;20.00000;33.00000;0.1,480.0,1.0,280.0;-430414.0,430414.0;1.00000;400,3000,3493;126.00000;0.06000;16.7,-14.0,15.8,-13.8
b_10b;13.63000;21.50000;63.00000;4931.00000;1214.00000;564.00000;0.65000;235.00000;20.00000;33.00000;0.1,340.0,1.0,235.0;-110000.0,220500.0;2.00000;400,2200,2450;0.00000;0.00000;15.0,-13.0,14.5,-12.0
b_18a;17.63000;27.90000;89.09400;7490.00000;1663.54000;580.00000;0.65000;350.00000;20.00000;33.00000;0.1,340.0,1.0,280.0;-210000.0,485000.0;2.00000;300,2200,3700;0.00000;0.00000;17.0,-13.0,16.5,-12.0
b_239_finland;7.93800;10.66800;18.60000;1762.00000;430.00000;761.00000;0.75000;280.00000;20.00000;33.00000;0.1,460.0,0.5,320.0,1.0,240.0;-73575.0,165544.0;1.00000;500,2200,2520;0.00000;0.00000;17.0,-12.0,14.0,-14.0
b_24d;20.47240;33.52800;97.35900;15569.00000;7506.00000;600.00000;0.62000;263.00000;0.00000;33.00000;0.1,390.0,1.0,263.0;-246800.0,494500.0;4.00000;600,2700,2950;0.00000;0.00000;11.0,-12.5,11.5,-13.0
b_25j_20;16.30700;20.60400;56.67000;10205.00000;2654.00000;591.00000;0.65000;294.00000;20.00000;33.00000;0.1,430.0,0.3,320.0,1.0,294.0;-177470.0,325660.0;2.00000;600,2600,2880;0.00000;0.00000;14.2,-13.2,13.5,-15.0
b_26b_c;17.73000;21.64000;61.19000;9687.00000;2731.00000;568.00000;0.75000;265.00000;20.00000;33.00000;0.1,430.0,0.3,320.0,1.0,297.0;-177470.0,496125.0;2.00000;600,2700,2880;0.00000;0.00000;14.0,-13.0,12.0,-10.0
b_34;16.90000;19.96000;51.00000;8550.00000;1548.00000;633.00000;0.66000;235.00000;20.00000;33.00000;0.1,340.0,1.0,235.0;-200000.0,360000.0;2.00000;600,2700,3100;0.00000;0.00000;18.0,-13.0,17.0,-12.0
b_48_firecrest;11.97600;13.70000;32.58000;5277.00000;1003.00000;750.00000;0.76000;360.00000;20.00000;33.00000;0.2,430.0,1.0,272.0;-145000.0,345000.0;1.00000;600,2701,3120;46.00000;0.06800;17.3,-10.0,15.8,-15.0
ba_65_k14_l;9.53000;12.00000;23.37480;2305.00000;508.00000;590.00000;0.65000;400.00000;20.00000;33.00000;0.1,520.0,1.0,250.0;-86745.0,181375.0;1.00000;600,2400,3000;0.00000;0.00000;16.5,-12.0,16.0,-15.0
bb-1;10.25000;14.30000;28.98000;2971.00000;560.00000;620.00000;0.80000;350.00000;20.00000;33.00000;0.1,450.0,0.3,340.0,1.0,280.0;-80861.0,161723.0;1.00000;450,2375,2800;0.00000;0.00000;18.0,-11.0,16.0,-18.0
be_6;23.00000;33.00000;120.00000;17600.00000;7446.00000;500.00000;0.65000;450.00000;20.00000;33.00000;0.1,300.0,1.0,220.0;-411000.0,568400.0;2.00000;550,2600,2800;0.00000;0.00000;17.5,-12.0,16.0,-19.0
beaufighter_mk1_40mm;12.70000;17.63000;46.70000;7113.00000;1972.46000;676.00000;0.75000;242.00000;20.00000;33.00000;0.1,440.0,0.3,242.0,1.0,216.0;-193672.0,364560.0;2.00000;400,2800,3150;0.00000;0.00000;16.0,-14.0,18.0,-15.0
beaufighter_mk21;12.70000;17.63000;46.70000;7250.00000;1780.00000;676.00000;0.75000;242.00000;20.00000;33.00000;0.1,440.0,0.3,242.0,1.0,216.0;-193672.0,364560.0;2.00000;400,2900,3150;0.00000;0.00000;16.0,-14.0,18.0,-15.0
beaufighter_mk6c;12.70000;17.63000;46.70000;7113.00000;1780.00000;676.00000;0.75000;242.00000;20.00000;33.00000;0.1,440.0,0.3,242.0,1.0,216.0;-193672.0,364560.0;2.00000;400,2900,3150;0.00000;0.00000;16.0,-14.0,18.0,-15.0
beaufighter_mkx;12.70000;17.63000;46.70000;7900.00000;1780.00000;676.00000;0.75000;242.00000;20.00000;33.00000;0.1,440.0,0.3,242.0,1.0,216.0;-193672.0,364560.0;2.00000;400,2900,3150;0.00000;0.00000;16.0,-14.0,18.0,-15.0
beaufort_mkviii;13.46200;17.62750;47.19500;6524.00000;1865.00000;523.00000;0.62000;242.00000;20.00000;33.00000;0.1,440.0,1.0,216.0;-142500.0,345500.0;2.00000;550,2700,3060;0.00000;0.00000;15.0,-14.2,14.4,-14.0
bf-109a_1;8.73800;9.86700;16.20000;1900.00000;177.00000;790.00000;0.82000;280.00000;20.00000;33.00000;0.1,400.0,0.5,350.0,1.0,250.0;-66000.0,123970.0;1.00000;400,2700,2850;0.00000;0.00000;18.2,-14.0,15.1,-17.0
